Timestamp, Consommation
1639008000, 69017
1639008900, 68927
1639009800, 67420
1639010700, 66176
1639011600, 65603
1639012500, 66083
1639013400, 65514
1639014300, 65684
1639015200, 65179
1639016100, 65830
1639017000, 64863
1639017900, 64166
1639018800, 63568
1639019700, 63252
1639020600, 62703
1639021500, 62329
1639022400, 62150
1639023300, 62101
1639024200, 62132
1639025100, 62162
1639026000, 62464
1639026900, 64075
1639027800, 64523
1639028700, 65401
1639029600, 66413
1639030500, 69056
1639031400, 70076
1639032300, 71704
1639033200, 73019
1639034100, 74614
1639035000, 75746
1639035900, 76618
1639036800, 77562
1639037700, 77892
1639038600, 78111
1639039500, 78127
1639040400, 78401
1639041300, 77951
1639042200, 77952
1639043100, 77939
1639044000, 77509
1639044900, 77272
1639045800, 77134
1639046700, 76964
1639047600, 76798
1639048500, 76731
1639049400, 76740
1639050300, 76777
1639051200, 77000
1639052100, 76690
1639053000, 76371
1639053900, 77220
1639054800, 76172
1639055700, 75837
1639056600, 74756
1639057500, 74345
1639058400, 74185
1639059300, 73570
1639060200, 72800
1639061100, 72302
1639062000, 72215
1639062900, 72009
1639063800, 71799
1639064700, 71698
1639065600, 71683
1639066500, 71664
1639067400, 71867
1639068300, 72223
1639069200, 73182
